"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup","max_treedepth"
1,8,1,TRUE,1.01879298251145,240.270636565707,374.957000000053,171,267,300,200,15
1,8,2,TRUE,1.01382153736234,324.788238283812,244.920000000042,171,267,300,200,15
1,8,3,TRUE,1.01947625504169,292.458754677059,250.831000000006,171,267,300,200,15
1,8,4,TRUE,1.0150429044656,296.24180645413,226.366999999969,171,267,300,200,15
1,8,5,TRUE,1.02231801026479,272.58465807613,239.014000000025,171,267,300,200,15
1,8,6,TRUE,1.01825043840052,280.348149881599,298.506999999983,171,267,300,200,15
1,8,7,TRUE,1.02068472819208,351.08894489045,244.811999999976,171,267,300,200,15
1,8,8,TRUE,1.02146952771921,263.249727051688,236.729999999981,171,267,300,200,15
1,8,9,TRUE,1.01525601567228,282.10333379931,230.329999999958,171,267,300,200,15
1,8,10,TRUE,1.01846953566062,294.895689127847,246.064000000013,171,267,300,200,15
