"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup"
1,19,1,TRUE,1.03088081807798,223.990257041591,411.964,400,700,300,200
1,19,2,TRUE,1.02576710965263,183.706728130965,424.798000000003,400,700,300,200
1,19,3,TRUE,1.04155385656442,255.137968382221,402.191999999999,400,700,300,200
1,19,4,TRUE,1.03136647189247,246.131082449751,414.940999999999,400,700,300,200
1,19,5,TRUE,1.02734470535412,256.576484931969,403.556,400,700,300,200
1,19,6,FALSE,1.8074600184723,4.52915442857362,385.946,400,700,300,200
1,19,7,FALSE,1.05083640765595,57.282244216133,338.095000000001,400,700,300,200
1,19,8,TRUE,1.02634777569266,212.803031885442,446.266,400,700,300,200
1,19,9,TRUE,1.02196973751823,288.008883659526,400.848000000002,400,700,300,200
1,19,10,FALSE,1.76970469485458,4.599513138769,412.959999999999,400,700,300,200
1,19,11,TRUE,1.02544934232833,240.694358599025,405.400999999998,400,700,300,200
1,19,12,TRUE,1.0241139104266,122.6236661452,367.290000000001,400,700,300,200
1,19,13,FALSE,1.8150283133829,4.49614271734877,305.610000000001,400,700,300,200
1,19,14,FALSE,1.79157554713233,4.59059910396127,380.424999999999,400,700,300,200
1,19,15,FALSE,1.75222679742592,4.70056942966866,378.509000000002,400,700,300,200
1,19,16,TRUE,1.02357005190426,158.181541608578,419.402999999998,400,700,300,200
