"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup"
1,6,1,TRUE,1.02819527923046,143.152095473152,41.0480000000098,126,186,300,200
1,6,2,FALSE,1.20512038754977,10.4897326695769,40.073000000004,126,186,300,200
1,6,3,FALSE,1.04765073438986,87.567084966739,35.304999999993,126,186,300,200
1,6,4,FALSE,1.80962891703303,4.49794128271454,48.4200000000128,126,186,300,200
1,6,5,TRUE,1.02202355846405,198.809031053832,57.6780000000144,126,186,300,200
1,6,6,FALSE,1.74022732945563,4.6953051782918,36.2419999999984,126,186,300,200
1,6,7,TRUE,1.02101716210738,185.979080021998,39.75,126,186,300,200
1,6,8,TRUE,1.0245085654668,197.926399937288,35.0139999999956,126,186,300,200
1,6,9,TRUE,1.02264288312148,198.974395763489,38.1050000000105,126,186,300,200
1,6,10,TRUE,1.04231349164451,197.094924926317,37.9610000000102,126,186,300,200
1,6,11,TRUE,1.03903734252016,140.493618985151,38.8260000000009,126,186,300,200
1,6,12,TRUE,1.02465771823772,158.667805542615,59.6959999999963,126,186,300,200
1,6,13,TRUE,1.04761521252463,105.443238964372,52.5320000000065,126,186,300,200
1,6,14,TRUE,1.01828072559917,123.016574163286,38.9400000000023,126,186,300,200
